Description,Min,Max,Units
Torque de excitación - Link 1,1.6382654181253,39.8171848636345,N m
Torque de excitación - Link 2,0.000786403446549187,6.76025913574713,N m
Posición angular - Link 1,-3.04177173738651e-07,0.785446567479049,rad
Posición angular - Link 2,-0.000338194709584489,1.56902246866152,rad
Velocidad angular - Link 1,-0.0275909674289079,1.25399589048018,rad/s
Velocidad angular - Link 2,-0.01928227996667,1.75626332489878,rad/s
Coordenada X del CM - Link 1,0.0695052320094299,0.0983,m
Coordenada Y del CM - Link 1,-2.99006161785089e-08,0.0695119610089898,m
Coordenada X del CM - Link 2,0.183887774719296,0.2829,m
Coordenada Y del CM - Link 2,-8.06875786487164e-08,0.206748557651891,m
Coordenada X del Efector Final,0.184308356262154,0.52,m
Coordenada Y del Efector Final,-1.01040483567351e-07,0.443847963771298,m
Variable de estado mecánica - Link 1,-0.00334678434912653,0.152109701515245,N m s
Variable de estado mecánica - Link 2,-0.000223674447613371,0.0203726545688259,N m s
Corriente de armadura - Link 1,0,18.1043439458795,A
Corriente de armadura - Link 2,0,17.6456890540982,A
Torque electromagnético - Link 1,0,2.22683430534318,N m
Torque electromagnético - Link 2,0,2.17041975365408,N m
Perfil de posicion angular - Link 1,0.25,0.25,
Perfil de posicion angular - Link 2,0,0.5,
