Description,Min,Max,Units
Torque de excitación - Link 1,8.41324123145588,39.2699081698724,N m
Torque de excitación - Link 2,0,1.37099727718807,N m
Posición angular - Link 1,0,0.59474430914066,rad
Posición angular - Link 2,-0.00918971910653738,0,rad
Velocidad angular - Link 1,0,2.18589324266165,rad/s
Velocidad angular - Link 2,-0.134658196635057,0,rad/s
Coordenada X del CM - Link 1,0.0814210828323423,0.0983,m
Coordenada Y del CM - Link 1,0,0.0550771937412289,m
Coordenada X del CM - Link 2,0.238254898113858,0.2829,m
Coordenada Y del CM - Link 2,0,0.145466774800587,m
Coordenada X del Efector Final,0.475344886525704,0.52,m
Coordenada Y del Efector Final,-8.00962873358736e-07,0.143287923068407,m
Variable de estado mecánica - Link 1,0,0.265148850334858,N m s
Variable de estado mecánica - Link 2,-0.00156203508096666,0,N m s
