Description,Min,Max,Units
Tensión de armadura,-48,48,V
Torque de carga,0,0,N m
Corriente de armadura,-17.222114913753,0.293240658733484,A
Velocidad angular,-389.382566473895,389.374957220548,rad/s
Variable de estado eléctrica,-0.00277276050111424,4.7211746056091e-05,Wb
Variable de estado mecánica,-0.0521772639075019,0.0521762442675534,N m s
Perfil de tensión de armadura,-1,1,
Perfil de torque de carga,0,0,
Fuerza contraelectromotriz,-47.8940556762891,47.8931197381274,V
Torque electromagnético,-2.11832013439162,0.0360686010242186,N m
