Description,Min,Max,Units
Tensión de armadura,48,48,V
Torque de carga,0,0.8,N m
Corriente de armadura,0.292819875776397,6.78240517102466,A
Velocidad angular,370.117252908984,389.374957220514,rad/s
Variable de estado eléctrica,4.7144e-05,0.00109196723253497,Wb
Variable de estado mecánica,0.0495957118898039,0.0521762442675489,N m s
Perfil de tensión de armadura,1,1,
Perfil de torque de carga,0,1,
Fuerza contraelectromotriz,45.5244221078051,47.8931197381232,V
Torque electromagnético,0.0360168447204969,0.834235836036033,N m
