"Variable","FigureName","LegendText","LineColor","LineWidth","XLabelText","YLabelText","Interpreter","XLimSpan","YLimSpan","YTick","LegendLocation","XLineCoordinates","","","","","","","","","","","","",""
"Ua","ENSAYO_5_TensionArmadura","Tensión de armadura","#0072BD","2","Tiempo [s]","$U_a(t)$ [V]","latex","[0 0.6]","[-5 60]","0:10:60","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
"Tc","ENSAYO_5_TorqueCarga","Torque de carga","#D95319","2","Tiempo [s]","$\tau_c(t)$ [Nm]","latex","[0 0.6]","[-0.2 1]","-0.2:0.2:1","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
"Ia","ENSAYO_5_CorrienteArmadura","Corriente de armadura","#A2142F","2","Tiempo [s]","$I_a(t)$ [A]","latex","[0 0.6]","[-150 150]","-150:50:150","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
"omega","ENSAYO_5_VelocidadAngular","Velocidad angular","#7E2F8E","2","Tiempo [s]","$\omega(t)$ [rad/s]","latex","[0 0.6]","[-50 500]","0:100:500","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
"La_state","ENSAYO_5_VariableEstadoElectrica","Variable de estado eléctrica","#A2142F","2","Tiempo [s]","$p_2(t)$ [Wb]","latex","[0 0.6]","[-0.02 0.02]","-0.02:0.005:0.02","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
"J_state","ENSAYO_5_VariableEstadoMecanica","Variable de estado mecánica","#7E2F8E","2","Tiempo [s]","$p_6(t)$ [Nms]","latex","[0 0.6]","[-0.01 0.06]","-0.01:0.01:0.06","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
"perfil_Ua","ENSAYO_5_PerfilEntradaTension","Perfil de tensión de armadura","#0072BD","2","Tiempo [s]","Perfil Armadura","none","[0 0.6]","[-0.25 1.25]","-0.25:0.25:1.25","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
"perfil_Tc","ENSAYO_5_PerfilEntradaTorque","Perfil de torque de carga","#D95319","2","Tiempo [s]","Perfil Torque","none","[0 0.6]","[-0.25 1.25]","-0.25:0.25:1.25","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
"e","ENSAYO_5_FuerzaContraelectromotriz","Fuerza contraelectromotriz","#4DBEEE","2","Tiempo [s]","$\mathrm{fcem}(t)$ [V]","latex","[0 0.6]","[-6 60]","0:10:60","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
"Tem","ENSAYO_5_TorqueElectromagnetico","Torque electromagnético","#EDB120","2","Tiempo [s]","$\tau_{em}(t)$ [Nm]","latex","[0 0.6]","[-15 15]","-15:5:15","northeast","[0.1 0.2 0.3 0.4]","","","","","","","","","","","","",""
